,name,address,Website,Type,Size,city,state,zipcode,associates,Profit,Sector
419,Christ the King Seminary,"711 Knox Rd, East Aurora, New York 14052-0607",www.cks.edu,"4-year, Private not-for-profit",98.0, East Aurora,New,York 14052-0607,0,Not-For-Profit,Private
420,Christian Brothers University,"650 E Parkway S, Memphis, Tennessee 38104",www.cbu.edu,"4-year, Private not-for-profit",1869.0, Memphis,Tennessee,38104,0,Not-For-Profit,Private
421,Christian Life College,"400 E Gregory St, Mount Prospect, Illinois 60056-2522",www.christianlifecollege.edu,"4-year, primarily associate's, Private not-for-profit",46.0, Mount Prospect,Illinois,60056-2522,1,Not-For-Profit,Private
422,Christian Theological Seminary,"1000 W 42nd St, Indianapolis, Indiana 46208-3301",www.cts.edu,"4-year, Private not-for-profit",253.0, Indianapolis,Indiana,46208-3301,0,Not-For-Profit,Private
423,Christopher Newport University,"1 University Place, Newport News, Virginia 23606",www.cnu.edu,"4-year, Public",4904.0, Newport News,Virginia,23606,0,Not-For-Profit,Private
424,Church Divinity School of the Pacific,"2451 Ridge Road, Berkeley, California 94709-1211",www.cdsp.edu,"4-year, Private not-for-profit",115.0, Berkeley,California,94709-1211,0,Not-For-Profit,Private
425,Church of God Theological Seminary,"900 Walker St NE, Cleveland, Tennessee 37320-3330",www.cogts.edu,"4-year, Private not-for-profit",208.0, Cleveland,Tennessee,37320-3330,0,Not-For-Profit,Private
426,Cincinnati Christian University,"2700 Glenway Ave, Cincinnati, Ohio 45204-3200",www.CCUniversity.edu,"4-year, Private not-for-profit",1058.0, Cincinnati,Ohio,45204-3200,0,Not-For-Profit,Private
427,Cincinnati College of Mortuary Science,"645 W North Bend Rd, Cincinnati, Ohio 45224-1462",WWW.CCMS.EDU,"4-year, Private not-for-profit",134.0, Cincinnati,Ohio,45224-1462,0,Not-For-Profit,Private
428,Citadel Military College of South Carolina,"171 Moultrie St, Charleston, South Carolina 29409",www.citadel.edu,"4-year, Public",3328.0, Charleston,South,Carolina 29409,0,Not-For-Profit,Private
429,City College,"9300 S Dadeland Blvd. Suite Ph, Miami, Florida 33156",www.citycollege.edu,"4-year, primarily associate's, Private not-for-profit",292.0, Miami,Florida,33156,1,Not-For-Profit,Private
430,City College,"2000 W. Commerical Boulevard, Fort Lauderdale, Florida 33309",www.citycollege.edu,"4-year, primarily associate's, Private not-for-profit",470.0, Fort Lauderdale,Florida,33309,1,Not-For-Profit,Private
431,City College Branch Campus,"2400 SW 13th St, Gainesville, Florida 32608",www.citycollege.edu,"4-year, primarily associate's, Private not-for-profit",278.0, Gainesville,Florida,32608,1,Not-For-Profit,Private
432,City of Hope Graduate School of Biological Sciences,"1500 E. Duarte Rd., Duarte, California 91010-3000",gradschool.coh.org,"4-year, Private not-for-profit",69.0, Duarte,California,91010-3000,0,Not-For-Profit,Private
433,City University of Seattle,"11900 NE First Street, Bellevue, Washington 98005",www.cityu.edu,"4-year, Private not-for-profit",3184.0, Bellevue,Washington,98005,0,Not-For-Profit,Private
434,Claflin University,"400 Magnolia Street, Orangeburg, South Carolina 29115-4498",www.claflin.edu,"4-year, Private not-for-profit",1773.0, Orangeburg,South,Carolina 29115-4498,0,Not-For-Profit,Private
435,Claremont Graduate University,"150 E Tenth St, Claremont, California 91711-6160",www.cgu.edu,"4-year, Private not-for-profit",2215.0, Claremont,California,91711-6160,0,Not-For-Profit,Private
436,Claremont McKenna College,"500 E 9th St, Claremont, California 91711-6400",www.claremontmckenna.edu/,"4-year, Private not-for-profit",1212.0, Claremont,California,91711-6400,0,Not-For-Profit,Private
437,Claremont School of Theology,"1325 N College Ave, Claremont, California 91711-3199",www.cst.edu,"4-year, Private not-for-profit",358.0, Claremont,California,91711-3199,0,Not-For-Profit,Private
438,Clarion University of Pennsylvania,"840 Wood St, Clarion, Pennsylvania 16214",www.clarion.edu,"4-year, Public",7100.0, Clarion,Pennsylvania,16214,0,Not-For-Profit,Private
439,Clark Atlanta University,"223 James P Brawley Drive, S.W., Atlanta, Georgia 30314-4391",www.cau.edu,"4-year, Private not-for-profit",4068.0, Atlanta,Georgia,30314-4391,0,Not-For-Profit,Private
440,Clark University,"950 Main St, Worcester, Massachusetts 01610-1477",www.clarku.edu,"4-year, Private not-for-profit",3330.0, Worcester,Massachusetts,01610-1477,0,Not-For-Profit,Private
441,Clarke College,"1550 Clarke Dr, Dubuque, Iowa 52001-3198",www.clarke.edu,"4-year, Private not-for-profit",1156.0, Dubuque,Iowa,52001-3198,0,Not-For-Profit,Private
442,Clarkson College,"101 S 42nd St, Omaha, Nebraska 68131-2739",www.clarksoncollege.edu/,"4-year, Private not-for-profit",820.0, Omaha,Nebraska,68131-2739,0,Not-For-Profit,Private
443,Clarkson University,"Potsdam, New York 13699-5557",www.clarkson.edu,"4-year, Private not-for-profit",3045.0, New York 13699-5557,,,0,Not-For-Profit,Private
444,Clayton  State University,"2000 Clayton State Boulevard, Morrow, Georgia 30260-0285",www.clayton.edu,"4-year, Public",6074.0, Morrow,Georgia,30260-0285,0,Not-For-Profit,Private
445,Clear Creek Baptist Bible College,"300 Clear Creek Rd, Pineville, Kentucky 40977-9752",www.ccbbc.edu,"4-year, Private not-for-profit",164.0, Pineville,Kentucky,40977-9752,0,Not-For-Profit,Private
446,Clearwater Christian College,"3400 Gulf to Bay Blvd, Clearwater, Florida 33759-4595",www.clearwater.edu,"4-year, Private not-for-profit",604.0, Clearwater,Florida,33759-4595,0,Not-For-Profit,Private
447,Cleary University,"3601 Plymouth Rd, Ann Arbor, Michigan 48105-2659",www.cleary.edu,"4-year, Private not-for-profit",857.0, Ann Arbor,Michigan,48105-2659,0,Not-For-Profit,Private
448,Clemson University,"201 Sikes Hall, Clemson, South Carolina 29634",www.clemson.edu,"4-year, Public",18317.0, Clemson,South,Carolina 29634,0,Not-For-Profit,Private
449,Cleveland Chiropractic College,"10850 Lowell Avenue, Overland Park, Kansas 66210",www.cleveland.edu,"4-year, Private not-for-profit",535.0, Overland Park,Kansas,66210,0,Not-For-Profit,Private
450,Cleveland Chiropractic College of Los Angeles,"590 N Vermont Ave, Los Angeles, California 90004-2196",WWW.CLEVELAND.EDU,"4-year, Private not-for-profit",342.0, Los Angeles,California,90004-2196,0,Not-For-Profit,Private
451,Cleveland Institute of Art,"11141 East Blvd, Cleveland, Ohio 44106-1710",www.cia.edu,"4-year, Private not-for-profit",503.0, Cleveland,Ohio,44106-1710,0,Not-For-Profit,Private
452,Cleveland Institute of Music,"11021 East Blvd, Cleveland, Ohio 44106-1776",www.cim.edu,"4-year, Private not-for-profit",462.0, Cleveland,Ohio,44106-1776,0,Not-For-Profit,Private
453,Cleveland State University,"2121 Euclid Avenue, Cleveland, Ohio 44115-2214",www.csuohio.edu/,"4-year, Public",15139.0, Cleveland,Ohio,44115-2214,0,Not-For-Profit,Private
454,Coastal Carolina University,"108 James P. Blanton Circle, Conway, South Carolina 29526",www.coastal.edu,"4-year, Public",8154.0, Conway,South,Carolina 29526,0,Not-For-Profit,Private
455,Coe College,"1220 First Ave NE, Cedar Rapids, Iowa 52402-5092",www.coe.edu,"4-year, Private not-for-profit",1326.0, Cedar Rapids,Iowa,52402-5092,0,Not-For-Profit,Private
456,Cogswell Polytechnical College,"1175 Bordeaux  Drive, Sunnyvale, California 94089",www.cogswell.edu,"4-year, Private not-for-profit",224.0, Sunnyvale,California,94089,0,Not-For-Profit,Private
457,Coker College,"300 E College Ave, Hartsville, South Carolina 29550",www.coker.edu,"4-year, Private not-for-profit",1099.0, Hartsville,South,Carolina 29550,0,Not-For-Profit,Private
458,Colby College,"4000 Mayflower Hill Drive, Waterville, Maine 04901-8840",www.colby.edu,"4-year, Private not-for-profit",1847.0, Waterville,Maine,04901-8840,0,Not-For-Profit,Private
